序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1323,002858,力盛体育,R 文化传播,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,11.49,11.506,10.7615,False,True,True,True,11.8,-2.6271186440678007,False,55.881647305926826,0.005968820963362376,-0.20627931517572262,0.42449627227817,True,False,False,False,,,21.704940122076746,18.835533480919867,27.4437534043905,False,False,2026-07-23,10.0,True,34168.0,57731.4,0.5918442996359,False,39247500.0,2.32,16.917025862068968,-1.2037833190025826,3.267411865864151,6.769502392789113,21.052631578947345,42.10526315789469,False,17.37,False,True,False,False,True,False
1324,002859,洁美科技,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,67.81,61.727999999999994,64.2055,True,True,False,True,87.62,-22.608993380506735,False,49.367478901723274,-4.890870566273861,-5.835234362705343,1.8887275928629634,True,False,False,False,2026-08-05,1.0,32.586417138947844,30.033230111953277,37.69279119293699,False,False,,,False,219621.0,280924.2,0.7817802809441123,False,1469382500.0,5.13,286.4293372319688,3.7484700122399017,9.164626682986528,5.614005030721669,24.874791318864713,75.12520868113529,True,115.91,False,False,False,False,False,True
1325,002860,星帅尔,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,16.59,16.444,16.9875,True,False,False,False,19.88,-16.549295774647884,False,50.49277454795163,0.41144453562131034,0.6535307922083431,-0.4841725131740655,False,True,False,False,,,62.35820970810278,67.82969004572412,51.41524903286009,False,False,,,False,137528.0,239281.8,0.5747532825313083,False,225595300.0,4.0,56.398825,-0.6586826347305341,3.413173652694613,-2.3399558498896296,8.771929824561523,75.43859649122798,True,19.88,False,False,False,False,True,False
1326,002861,瀛通通讯,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,16.51,15.592000000000002,16.313499999999998,True,True,False,True,22.3,-25.964125560538108,False,46.997877808391245,-1.0411991880535627,-1.1981167999855298,0.31383522386393414,True,False,False,False,2026-08-05,1.0,18.45096997144961,13.915497630907618,27.521914652533592,False,False,2026-08-04,2.0,True,63836.0,73089.0,0.8734009221633898,False,104788400.0,4.25,24.656094117647058,2.229102167182684,4.1486068111455,1.2045238606062703,28.358208955223617,71.64179104477638,True,23.7,False,False,False,False,False,False
1327,002862,实丰文化,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,13.67,13.547999999999998,12.703999999999999,True,True,True,True,13.83,-1.1569052783803335,False,57.09000652147734,-0.028725064610053863,-0.29826115645414514,0.5390721836881825,True,False,False,False,,,25.96550840134601,22.200602403750107,33.495320396537814,False,False,,,False,32600.0,43277.6,0.7532765218034272,False,44576500.0,2.54,17.549803149606298,-0.5818181818181833,4.145454545454547,7.603904282115878,40.35087719298251,47.36842105263148,False,19.27,False,False,False,False,False,False
1328,002863,今飞凯达,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,4.47,4.42,4.2705,True,True,True,True,4.5,-0.6666666666666722,False,55.20709364648591,-0.02020734643690858,-0.07374990559657588,0.1070851183193346,True,False,False,False,,,22.780561430604337,19.35805950396706,29.625565283878892,False,False,2026-07-27,8.0,True,251365.0,92745.8,2.710257499530976,True,111693400.0,4.19,26.657136038186156,1.5909090909090873,5.4545454545454595,4.671584123638907,45.83333333333343,54.16666666666657,False,5.68,False,False,False,False,True,False
1329,002864,盘龙药业,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,21.29,21.072,21.5825,True,False,False,True,25.19,-15.482334259626843,False,49.84947352887275,-0.16025630793752654,-0.13814340045581988,-0.044225814963413324,False,True,False,False,,,29.836398643657343,28.112025357806303,33.28514521535942,False,False,,,False,29278.0,26419.0,1.1082175706877626,False,61916500.0,2.97,20.847306397306397,0.1882352941176446,1.552941176470597,-1.3552646820340573,3.030303030303487,96.96969696969651,True,25.19,False,False,False,False,False,False
1330,002865,钧达股份,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,44.22,42.714,43.6985,True,True,False,True,55.94,-20.95101894887379,False,41.75067657805708,-3.9869656298904346,-5.1798630103387255,2.385794760896582,True,False,False,False,2026-07-27,8.0,7.981539972520584,6.7050375359921075,10.534544845577537,False,False,2026-08-03,3.0,True,84245.0,91875.2,0.9169503848699105,False,371028900.0,3.77,98.41615384615385,-0.18058690744920947,3.3634311512415236,1.1934048079453439,38.926174496644315,61.073825503355685,False,110.63,False,False,False,False,True,False
1331,002866,传艺科技,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,15.42,15.252,14.511500000000002,True,True,True,True,15.92,-3.1407035175879394,False,51.299549555688785,-0.30434547013017976,-0.6202028069544522,0.6317146736485448,True,False,False,False,2026-07-20,13.0,11.570274303901913,9.925711162186849,14.859400587332043,False,False,2026-07-29,6.0,True,127024.0,156469.0,0.8118157590321405,False,195399400.0,7.01,27.87437945791726,-0.899742930591263,3.470437017994853,6.260551976019007,33.33333333333333,51.85185185185182,False,25.06,False,False,False,False,False,False
1332,002867,周大生,F 批发零售,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,12.76,12.841999999999999,12.2695,False,True,True,True,13.06,-2.297090352220526,False,65.44413310600343,0.35213129209534344,0.31161615730018555,0.08103026959031578,True,False,False,False,,,80.34254294873988,77.73189783982538,85.56383316656886,False,False,,,False,72438.0,94324.4,0.7679667191097956,False,92354800.0,0.67,137.84298507462685,-0.0783085356303781,2.192638997650739,3.9977179184155753,60.71428571428583,35.71428571428567,False,13.06,False,True,False,False,True,False
